vae.decoder.blocks.2.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.2.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.3.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.3.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.3.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.3.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.3.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.3.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.decoder.blocks.3.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.decoder.blocks.3.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.3.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.decoder.blocks.3.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.3.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.3.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.3.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.4.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.4.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.4.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.4.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.4.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.4.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.decoder.blocks.4.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.decoder.blocks.4.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.4.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.decoder.blocks.4.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.4.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.4.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.4.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.5.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.5.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.5.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.5.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.5.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.5.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.decoder.blocks.5.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.decoder.blocks.5.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.5.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.decoder.blocks.5.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.5.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.5.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.5.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.6.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.6.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.6.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.6.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.6.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.6.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.decoder.blocks.6.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.decoder.blocks.6.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.6.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.decoder.blocks.6.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.6.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.6.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.6.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.7.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.7.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.7.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.7.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.7.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.7.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.decoder.blocks.7.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.decoder.blocks.7.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.7.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.decoder.blocks.7.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.7.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.7.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.7.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.8.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.8.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.8.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.8.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.8.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.8.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.decoder.blocks.8.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.decoder.blocks.8.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.8.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.decoder.blocks.8.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.8.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.8.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.8.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.9.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.9.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.9.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.9.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.9.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.9.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
